City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
371,tabas,0,IR,1572937406,24,33.6,56.92,68.0,6.93
372,nizwa,12,OM,1572937406,46,22.93,57.53,76.64,3.58
373,kushima,20,JP,1572937406,48,31.5,131.29,68.0,5.82
374,jiangyou,100,CN,1572937406,92,31.78,104.73,49.21,2.98
375,tecozautla,75,MX,1572937407,82,20.53,-99.63,59.0,5.82
376,hay river,90,CA,1572937208,85,60.82,-115.79,19.4,18.34
377,lompoc,90,US,1572937407,93,34.64,-120.46,55.0,4.7
378,kaspiyskiy,35,RU,1572937407,71,45.39,47.37,55.24,25.84
379,iqaluit,75,CA,1572937407,78,63.75,-68.52,14.0,13.87
380,angoche,0,MZ,1572937407,58,-16.23,39.91,84.34,7.96
381,chapleau,80,CA,1572937407,96,47.85,-83.4,24.4,4.88
382,zhigansk,100,RU,1572937407,94,66.77,123.37,-7.64,13.35
383,san juan,0,AR,1572937407,28,-31.54,-68.53,67.1,29.64
384,vila velha,75,BR,1572937407,74,-3.71,-38.6,80.6,13.87
385,shakawe,96,BW,1572937407,40,-18.36,21.84,80.85,11.86
386,kazachinskoye,0,RU,1572937407,60,57.69,93.28,25.5,3.51
387,katsuura,20,JP,1572937407,48,33.93,134.5,68.0,13.87
388,smithers,75,CA,1572937407,87,54.78,-127.17,42.8,4.7
389,tighina,0,RO,1572937408,93,44.57,24.3,51.01,3.56
390,hervey bay,0,AU,1572937408,10,-25.3,152.85,88.0,17.22
391,nome,90,US,1572937408,88,30.04,-94.42,69.8,4.7
392,yarmouth,75,CA,1572937408,86,43.84,-66.12,39.99,3.36
393,tecoanapa,40,MX,1572937408,94,16.99,-99.26,80.6,2.06
394,sinnamary,5,GF,1572937408,80,5.38,-52.96,81.5,17.2
395,san policarpo,76,PH,1572937408,74,12.18,125.51,86.99,3.2
396,palana,82,RU,1572937408,79,59.08,159.95,30.65,8.61
397,santa cruz,13,BR,1572937312,96,-6.22,-36.02,68.36,6.76
398,faanui,84,PF,1572937408,80,-16.48,-151.75,79.81,7.52
399,sawakin,72,SD,1572937408,65,19.1,37.33,84.76,7.47
400,effium,48,NG,1572937408,96,6.63,8.06,74.1,6.17
401,ostersund,90,SE,1572937408,92,63.18,14.64,18.0,3.36
402,igdir,26,IR,1572937408,87,37.52,45.24,46.4,4.7
403,lewistown,40,US,1572937409,93,40.39,-90.15,41.0,5.82
404,davila,75,PH,1572937409,83,18.47,120.58,82.4,5.82
405,araouane,10,ML,1572937409,22,18.9,-3.53,75.76,7.65
